Rank,Module,Class,Kind,PmdSmells,LOC,NCSS,Methods,Path
1334,openjpa-persistence,ElementType,annotation,0,42,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ElementType.java
1335,openjpa-persistence,ExternalValues,annotation,0,43,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ExternalValues.java
1336,openjpa-persistence,Externalizer,annotation,0,42,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Externalizer.java
1337,openjpa-persistence,Factory,annotation,0,42,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Factory.java
1338,openjpa-persistence,InverseLogical,annotation,0,41,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/InverseLogical.java
1339,openjpa-persistence,KeyDependent,annotation,0,41,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/KeyDependent.java
1340,openjpa-persistence,KeyType,annotation,0,42,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/KeyType.java
1341,openjpa-persistence,LRS,annotation,0,41,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/LRS.java
1342,openjpa-persistence,LoadFetchGroup,annotation,0,41,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/LoadFetchGroup.java
1343,openjpa-persistence,QueryResultCache,interface,0,65,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryResultCache.java
1344,openjpa-persistence,Type,annotation,0,42,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Type.java
1345,openjpa-persistence,DomainObject,interface,0,128,11,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/DomainObject.java
1346,openjpa-jdbc,JDBCLockManager,interface,0,55,10,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java
1347,openjpa-jdbc,SchemaParser,interface,0,65,10,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaParser.java
1348,openjpa-kernel,JMXInstrument,interface,0,63,10,0,openjpa-kernel/src/main/java/org/apache/openjpa/instrumentation/jmx/JMXInstrument.java
1349,openjpa-kernel,Order,interface,0,53,10,0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/Order.java
1350,openjpa-kernel,ProxyCollection,interface,0,45,10,0,openjpa-kernel/src/main/java/org/apache/openjpa/util/proxy/ProxyCollection.java
1351,openjpa-lib,BatchedResultObjectProvider,interface,0,66,10,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/BatchedResultObjectProvider.java
1352,openjpa-lib,EventManager,interface,0,60,10,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/EventManager.java
1353,openjpa-persistence-jdbc,DiscriminatorStrategy,annotation,0,40,10,0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/DiscriminatorStrategy.java
1354,openjpa-persistence-jdbc,MappingOverrides,annotation,0,40,10,0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/MappingOverrides.java
1355,openjpa-persistence-jdbc,VersionColumns,annotation,0,40,10,0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/VersionColumns.java
1356,openjpa-persistence-jdbc,VersionStrategy,annotation,0,40,10,0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/VersionStrategy.java
1357,openjpa-persistence-jdbc,XMappingOverrides,annotation,0,39,10,0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMappingOverrides.java
1358,openjpa-persistence-jdbc,XSecondaryTables,annotation,0,40,10,0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XSecondaryTables.java
1359,openjpa-persistence,FetchAttribute,annotation,0,47,10,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchAttribute.java
1360,openjpa-persistence,FetchGroups,annotation,0,40,10,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchGroups.java
1361,openjpa-persistence,EqualExpression,class,0,39,10,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/EqualExpression.java
1362,openjpa-persistence,GreaterEqualExpression,class,0,39,10,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/GreaterEqualExpression.java
1363,openjpa-persistence,OrderBy,annotation,0,36,10,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/OrderBy.java
1364,openjpa-jdbc,ColumnDefIdentifierRule,class,0,40,9,1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/ColumnDefIdentifierRule.java
1365,openjpa-jdbc,ConnectionInfo,class,0,36,9,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java
1366,openjpa-jdbc,BooleanRepresentation,interface,0,98,9,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/BooleanRepresentation.java
1367,openjpa-jdbc,Sized,class,0,37,9,1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Sized.java
