Rank,Module,Class,Kind,PmdSmells,LOC,NCSS,Methods,Path
1,openjpa-kernel,PCEnhancer,class,698,5809,3958,133,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java
2,openjpa-kernel,BrokerImpl,class,360,5511,4162,296,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
3,openjpa-kernel,DelegatingBroker,class,329,1675,1426,184,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java
4,openjpa-jdbc,DBDictionary,class,276,6122,3959,342,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java
5,openjpa-jdbc,SelectImpl,class,230,3627,2703,305,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java
6,openjpa-persistence,Expressions,class,213,2098,1678,280,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Expressions.java
7,openjpa-kernel,JPQLExpressionBuilder,class,206,2591,1870,120,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java
8,openjpa-persistence,XMLPersistenceMetaDataParser,class,175,3001,2274,165,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java
9,openjpa-jdbc,PCPath,class,175,1208,947,68,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java
10,openjpa-kernel,ClassMetaData,class,174,2870,1864,167,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java
11,openjpa-jdbc,OracleDictionary,class,157,1617,1229,71,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java
12,openjpa-kernel,FieldMetaData,class,156,2589,1702,184,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java
13,openjpa-kernel,DelegatingQuery,class,144,743,614,78,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingQuery.java
14,openjpa-kernel,StateManagerImpl,class,143,3707,2646,192,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
15,openjpa-kernel,PCDataGenerator,class,143,1310,955,33,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCDataGenerator.java
16,openjpa-kernel,QueryImpl,class,130,2448,1846,181,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java
17,openjpa-kernel,DelegatingFetchConfiguration,class,126,670,552,67,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration.java
18,openjpa-kernel,FetchConfigurationImpl,class,123,1177,907,84,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FetchConfigurationImpl.java
19,openjpa-jdbc,MappingInfo,class,121,1927,1278,59,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java
20,openjpa-jdbc,XMLSchemaParser,class,120,628,437,34,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java
21,openjpa-persistence,AnnotationPersistenceMetaDataParser,class,119,2243,1709,96,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java
22,openjpa-kernel,ProxyManagerImpl,class,111,2045,1511,72,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java
23,openjpa-jdbc,SchemaTool,class,109,1736,1136,74,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java
24,openjpa-kernel,MetaDataRepository,class,108,2588,1622,140,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java
25,openjpa-jdbc,MappingRepository,class,107,1624,1203,84,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java
26,openjpa-jdbc,JDBCStoreManager,class,105,1990,1484,121,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
27,openjpa-jdbc,SelectConstructor,class,104,436,292,11,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java
28,openjpa-persistence,PersistenceProductDerivation,class,97,1034,764,43,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
29,openjpa-jdbc,ReverseMappingTool,class,96,2322,1497,122,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java
30,openjpa-persistence-jdbc,XMLPersistenceMappingParser,class,96,1857,1477,86,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java
31,openjpa-kernel,AbstractCFMetaDataFactory,class,96,1125,820,32,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java
32,openjpa-persistence,EntityManagerImpl,class,93,2250,1785,240,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java
33,openjpa-kernel,Reflection,class,93,1006,624,67,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java
34,openjpa-kernel,Filters,class,92,1142,877,37,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Filters.java
35,openjpa-lib,AbstractHashedMap,class,92,1394,750,92,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java
36,openjpa-jdbc,JDBCStoreQuery,class,87,1143,906,52,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java
37,openjpa-kernel,DelegatingResultList,class,86,502,388,51,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingResultList.java
38,openjpa-jdbc,PostgresDictionary,class,82,1135,809,57,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java
39,openjpa-lib,TreeBidiMap,class,81,2254,1246,146,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/TreeBidiMap.java
40,openjpa-jdbc,ForeignKey,class,79,1030,658,67,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java
41,openjpa-kernel,ExpressionStoreQuery,class,79,911,627,63,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java
42,openjpa-kernel,TCPRemoteCommitProvider,class,78,958,640,49,openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java
43,openjpa-lib,LoggingConnectionDecorator,class,73,2515,2054,216,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator.java
44,openjpa-lib,ConfigurationImpl,class,73,1172,773,66,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java
45,openjpa-jdbc,SchemaGenerator,class,68,1086,715,44,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java
46,openjpa-persistence-jdbc,AnnotationPersistenceMappingParser,class,67,2265,1858,83,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java
47,openjpa-jdbc,EmbedFieldStrategy,class,67,1974,1528,260,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java
48,openjpa-kernel,SingleFieldManager,class,67,929,688,34,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SingleFieldManager.java
49,openjpa-kernel,LifecycleEventManager,class,66,657,482,27,openjpa-kernel/src/main/java/org/apache/openjpa/event/LifecycleEventManager.java
50,openjpa-lib,ConcurrentReferenceHashMap,class,64,1153,745,81,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentReferenceHashMap.java
51,openjpa-kernel,DataCacheStoreManager,class,64,862,614,23,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java
52,openjpa-lib,ConcurrentHashMap,class,64,986,556,66,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentHashMap.java
53,openjpa-lib,ClassArgParser,class,64,642,457,23,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassArgParser.java
54,openjpa-xmlstore,XMLFileHandler,class,63,662,461,19,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLFileHandler.java
55,openjpa-lib,FormatPreservingProperties,class,63,727,434,40,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java
56,openjpa-kernel,DelegatingDataCache,class,63,426,345,37,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingDataCache.java
57,openjpa-jdbc,DB2Dictionary,class,61,1283,936,54,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java
58,openjpa-jdbc,RelationFieldStrategy,class,61,1147,894,45,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java
59,openjpa-jdbc,MappingTool,class,61,1232,747,54,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java
60,openjpa-jdbc,ClassMapping,class,61,1177,728,83,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java
61,openjpa-jdbc,SQLBuffer,class,60,699,468,41,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer.java
62,openjpa-jdbc,JoinSet,class,60,416,302,31,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java
63,openjpa-jdbc,DelegatingJDBCFetchConfiguration,class,60,344,268,32,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java
64,openjpa-lib,AbstractLinkedMap,class,59,621,310,48,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractLinkedMap.java
65,openjpa-persistence,XMLPersistenceMetaDataSerializer,class,57,1539,1102,90,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java
66,openjpa-kernel,ApplicationIdTool,class,57,1488,1038,48,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java
67,openjpa-jdbc,TableJDBCSeq,class,57,1000,624,49,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java
68,openjpa-persistence,AnnotationPersistenceMetaDataSerializer,class,56,1570,1102,100,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer.java
69,openjpa-persistence,SourceCode,class,56,1107,827,92,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/util/SourceCode.java
70,openjpa-kernel,InMemoryExpressionFactory,class,56,939,682,106,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory.java
71,openjpa-kernel,AutomaticManagedRuntime,class,54,328,230,9,openjpa-kernel/src/main/java/org/apache/openjpa/ee/AutomaticManagedRuntime.java
72,openjpa-persistence,SourceAnnotationHandler,class,53,769,504,39,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/SourceAnnotationHandler.java
73,openjpa-persistence,PersistenceMetaDataDefaults,class,52,998,711,44,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java
74,openjpa-jdbc,Column,class,52,1041,655,87,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java
75,openjpa-kernel,DynamicStorageGenerator,class,51,611,396,24,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator.java
76,openjpa-lib,ProductDerivations,class,48,511,342,20,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ProductDerivations.java
77,openjpa-slice,DistributedPreparedStatement,class,48,398,310,58,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedPreparedStatement.java
78,openjpa-kernel,DetachManager,class,47,891,640,37,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java
79,openjpa-lib,AbstractReferenceMap,class,47,1108,546,71,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractReferenceMap.java
80,openjpa-persistence,CriteriaQueryImpl,class,47,799,537,49,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java
81,openjpa-jest,XMLFormatter,class,47,536,412,14,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/XMLFormatter.java
82,openjpa-jdbc,Table,class,46,982,648,81,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java
83,openjpa-lib,AbstractDualBidiMap,class,45,825,462,63,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java
84,openjpa-slice,DistributedStoreQuery,class,45,293,228,12,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedStoreQuery.java
85,openjpa-jest,Constants,interface,45,115,48,0,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/Constants.java
86,openjpa-persistence,Joins,class,44,779,586,62,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Joins.java
87,openjpa-persistence,CriteriaExpressionBuilder,class,44,379,280,12,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaExpressionBuilder.java
88,openjpa-jdbc,FieldMapping,class,43,1456,1022,144,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java
89,openjpa-jdbc,RowImpl,class,43,1086,800,106,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java
90,openjpa-lib,Configurations,class,43,774,517,32,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java
91,openjpa-slice,DistributedSQLStoreQuery,class,43,292,229,12,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedSQLStoreQuery.java
92,openjpa-kernel,AsmHelper,class,42,696,516,24,openjpa-kernel/src/main/java/org/apache/openjpa/util/asm/AsmHelper.java
93,openjpa-kernel,ValueMetaDataImpl,class,42,566,427,48,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ValueMetaDataImpl.java
94,openjpa-persistence,AnnotationProcessor6,class,42,442,310,15,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/AnnotationProcessor6.java
95,openjpa-lib,Files,class,41,328,216,11,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Files.java
96,openjpa-persistence-jdbc,AnnotationPersistenceMappingSerializer,class,40,814,650,35,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingSerializer.java
97,openjpa-persistence-jdbc,XMLPersistenceMappingSerializer,class,40,768,613,33,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java
98,openjpa-kernel,ApplicationIds,class,39,733,561,38,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java
99,openjpa-lib,Options,class,39,650,355,26,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java
100,openjpa-jdbc,Schemas,class,39,244,193,5,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java
101,openjpa-jdbc,CollectionParam,class,39,214,159,13,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CollectionParam.java
102,openjpa-lib,CFMetaDataParser,class,37,373,224,26,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/CFMetaDataParser.java
103,openjpa-kernel,DelegatingBrokerFactory,class,37,263,188,25,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBrokerFactory.java
104,openjpa-kernel,InstrumentationFactory,class,36,386,224,11,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/InstrumentationFactory.java
105,openjpa-kernel,JavaTypes,class,35,545,386,16,openjpa-kernel/src/main/java/org/apache/openjpa/meta/JavaTypes.java
106,openjpa-jdbc,JDBCFetchConfigurationImpl,class,35,488,384,36,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java
107,openjpa-kernel,DetachedStateManager,class,34,1127,918,124,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java
108,openjpa-jdbc,QueryResultMapping,class,34,660,405,47,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java
109,openjpa-jdbc,SQLStoreQuery,class,34,428,295,21,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java
110,openjpa-persistence,JPAFacadeHelper,class,34,347,247,12,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/JPAFacadeHelper.java
111,openjpa-persistence,OpenJPAPersistenceUtil,class,34,328,212,12,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAPersistenceUtil.java
112,openjpa-jdbc,DBDictionaryFactory,class,33,675,574,7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionaryFactory.java
113,openjpa-jdbc,DBIdentifierUtilImpl,class,33,504,372,28,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifierUtilImpl.java
114,openjpa-kernel,ClearableScheduler,class,33,274,196,12,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ClearableScheduler.java
115,openjpa-kernel,VersionAttachStrategy,class,32,431,311,12,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java
116,openjpa-slice,DistributedTemplate,class,32,352,273,48,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedTemplate.java
117,openjpa-persistence,PathImpl,class,32,330,208,24,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/PathImpl.java
118,openjpa-lib,LRUMap,class,32,531,193,25,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/LRUMap.java
119,openjpa-kernel,ManagedCache,class,31,309,196,9,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ManagedCache.java
120,openjpa-persistence,AnnotationPersistenceXMLMetaDataParser,class,31,273,188,11,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceXMLMetaDataParser.java
121,openjpa-kernel,FillStrategy,interface,31,257,171,12,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FillStrategy.java
122,openjpa-kernel,AbstractBrokerFactory,class,30,921,579,46,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java
123,openjpa-kernel,QueryCacheStoreQuery,class,30,800,575,72,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java
124,openjpa-slice,DistributedJDBCStoreManager,class,30,601,456,42,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCStoreManager.java
125,openjpa-jdbc,PrimaryRow,class,30,501,352,33,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PrimaryRow.java
126,openjpa-kernel,DelegatingQueryCache,class,30,247,183,21,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java
127,openjpa-kernel,DistinctResultList,class,30,240,178,26,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DistinctResultList.java
128,openjpa-lib,DelegatingCallableStatement,class,29,1264,970,223,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java
129,openjpa-jdbc,LogicalUnion,class,29,1178,903,170,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java
130,openjpa-jdbc,AbstractResult,class,29,1081,838,143,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java
131,openjpa-kernel,AbstractQueryCache,class,29,686,480,55,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractQueryCache.java
132,openjpa-jdbc,StoreCollectionFieldStrategy,class,29,664,460,21,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StoreCollectionFieldStrategy.java
133,openjpa-jdbc,MariaDBDictionary,class,29,552,393,25,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MariaDBDictionary.java
134,openjpa-jdbc,SQLServerDictionary,class,29,471,327,25,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLServerDictionary.java
135,openjpa-junit5,OpenJPADirectoriesEnhancer,class,29,372,319,23,openjpa-junit5/src/main/java/org/apache/openjpa/junit5/internal/OpenJPADirectoriesEnhancer.java
136,openjpa-jdbc,SubQ,class,29,279,213,28,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java
137,openjpa-jdbc,JDBCExpressionFactory,class,28,704,553,96,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java
138,openjpa-jdbc,MySQLDictionary,class,28,541,389,23,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java
139,openjpa-jdbc,AbstractUpdateManager,class,28,450,320,17,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java
140,openjpa-slice,DistributedConnection,class,28,404,317,56,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedConnection.java
141,openjpa-persistence,MetamodelImpl,class,28,459,310,22,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/MetamodelImpl.java
142,openjpa-kernel,AbstractPCData,class,28,427,308,13,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractPCData.java
143,openjpa-jdbc,BatchingPreparedStatementManagerImpl,class,28,368,254,15,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingPreparedStatementManagerImpl.java
144,openjpa-lib,XMLMetaDataParser,class,27,781,489,66,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/XMLMetaDataParser.java
145,openjpa-persistence,PersistenceUnitInfoImpl,class,27,618,452,52,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceUnitInfoImpl.java
146,openjpa-kernel,AbstractExpressionBuilder,class,27,611,356,24,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AbstractExpressionBuilder.java
147,openjpa-kernel,ResultPacker,class,27,396,277,10,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultPacker.java
148,openjpa-jdbc,ReverseMappingToolTask,class,27,325,161,29,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java
149,openjpa-kernel,InterfaceImplGenerator,class,27,245,159,8,openjpa-kernel/src/main/java/org/apache/openjpa/meta/InterfaceImplGenerator.java
150,openjpa-jdbc,ResultSetResult,class,26,608,467,57,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/ResultSetResult.java
151,openjpa-jdbc,TableSchemaFactory,class,26,517,352,23,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java
152,openjpa-kernel,InverseManager,class,26,425,268,19,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/InverseManager.java
153,openjpa-kernel,ManagedClassSubclasser,class,26,332,229,10,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ManagedClassSubclasser.java
154,openjpa-slice,DistributedResultSet,class,25,1064,886,192,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedResultSet.java
155,openjpa-jdbc,ValueMappingImpl,class,25,625,489,49,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java
156,openjpa-jdbc,RelationRelationMapTableFieldStrategy,class,25,584,486,24,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationRelationMapTableFieldStrategy.java
157,openjpa-kernel,AttachStrategy,class,25,588,423,14,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachStrategy.java
158,openjpa-jdbc,PreparedStatementManagerImpl,class,25,317,226,20,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java
159,openjpa-jdbc,SimpleCaseExpression,class,25,265,194,25,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SimpleCaseExpression.java
160,openjpa-lib,LazyForwardResultList,class,25,217,161,20,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/LazyForwardResultList.java
161,openjpa-lib,RandomAccessResultList,class,25,244,156,14,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/RandomAccessResultList.java
162,openjpa-jdbc,Lit,class,25,169,119,12,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java
163,openjpa-slice,DistributedJDBCConfigurationImpl,class,24,701,516,41,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java
164,openjpa-jdbc,HandlerFieldStrategy,class,24,467,367,28,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy.java
165,openjpa-jdbc,LRSProxyMap,class,24,442,365,22,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyMap.java
166,openjpa-jdbc,XMLSchemaSerializer,class,24,470,332,27,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java
167,openjpa-jdbc,NativeJDBCSeq,class,24,482,295,27,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java
168,openjpa-kernel,AttachManager,class,24,370,239,11,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachManager.java
169,openjpa-kernel,PCClassFileTransformer,class,24,295,199,13,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCClassFileTransformer.java
170,openjpa-jdbc,ConstPath,class,24,258,185,21,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java
171,openjpa-jdbc,DBIdentifier,class,23,942,542,76,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java
172,openjpa-persistence,ExpressionImpl,class,23,570,435,102,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/ExpressionImpl.java
173,openjpa-lib,DepthFirstAnalysis,class,23,347,198,16,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/DepthFirstAnalysis.java
174,openjpa-kernel,PCRegistry,class,23,287,137,19,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCRegistry.java
175,openjpa-kernel,DelegatingExtent,class,23,198,130,18,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingExtent.java
176,openjpa-jdbc,Param,class,23,179,128,14,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java
177,openjpa-lib,WindowResultList,class,23,180,127,9,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/WindowResultList.java
178,openjpa-lib,IdentifierUtilImpl,class,22,636,485,67,openjpa-lib/src/main/java/org/apache/openjpa/lib/identifier/IdentifierUtilImpl.java
179,openjpa-kernel,AbstractDataCache,class,22,590,404,53,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractDataCache.java
180,openjpa-persistence,AbstractQuery,class,22,675,403,33,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AbstractQuery.java
181,openjpa-kernel,ExtentImpl,class,22,379,278,26,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExtentImpl.java
182,openjpa-lib,StringUtil,class,22,458,253,18,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/StringUtil.java
183,openjpa-jdbc,EmbedValueHandler,class,22,324,223,10,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedValueHandler.java
184,openjpa-kernel,WASManagedRuntime,class,22,376,189,21,openjpa-kernel/src/main/java/org/apache/openjpa/ee/WASManagedRuntime.java
