Dataset,Classifier,FS,Balancing,Step,TrainReleases,TrainRows,TestRelease,TestRows,Precision,Recall,AUC,Kappa,NPofB20,PofB20
OPENJPA,RandomForest,Yes,No,6,1-6,5848,7,1049,0.9187,0.4094,0.8624,0.4825,0.4964,0.1232
OPENJPA,RandomForest,Yes,No,7,1-7,6897,8,1008,0.8175,0.4882,0.8972,0.5391,0.5687,0.1801
OPENJPA,RandomForest,Yes,No,8,1-8,7905,9,1055,0.8899,0.7080,0.9649,0.7254,0.7190,0.2080
OPENJPA,RandomForest,Yes,No,9,1-9,8960,10,1166,0.8945,0.5623,0.9392,0.5876,0.7454,0.1777
OPENJPA,RandomForest,Yes,No,10,1-10,10126,11,1055,0.6102,0.1200,0.6265,0.1181,0.2833,0.1300
OPENJPA,RandomForest,Yes,No,11,1-11,11181,12,1243,0.6726,0.6849,0.8976,0.6093,0.5114,0.1644
OPENJPA,RandomForest,Yes,No,12,1-12,12424,13,1290,0.7477,0.7921,0.9637,0.7249,0.6188,0.1634
OPENJPA,RandomForest,Yes,No,13,1-13,13714,14,1055,0.6527,0.6229,0.8959,0.5673,0.5200,0.1371
OPENJPA,NaiveBayes,Yes,No,1,1-1,932,2,951,0.6881,0.3623,0.7715,0.3819,0.2126,0.1014
OPENJPA,NaiveBayes,Yes,No,2,1-2,1883,3,952,0.5706,0.4850,0.7720,0.4105,0.2700,0.1550
OPENJPA,NaiveBayes,Yes,No,3,1-3,2835,4,1002,0.4524,0.6552,0.8048,0.4392,0.2897,0.2966
OPENJPA,NaiveBayes,Yes,No,4,1-4,3837,5,1003,0.4293,0.5725,0.8191,0.3957,0.2754,0.2029
OPENJPA,NaiveBayes,Yes,No,5,1-5,4840,6,1008,0.4966,0.4596,0.8007,0.3826,0.2422,0.1615
OPENJPA,NaiveBayes,Yes,No,6,1-6,5848,7,1049,0.6000,0.3478,0.8262,0.3064,0.1920,0.1087
OPENJPA,NaiveBayes,Yes,No,7,1-7,6897,8,1008,0.5882,0.4265,0.8300,0.3866,0.3365,0.1327
OPENJPA,NaiveBayes,Yes,No,8,1-8,7905,9,1055,0.6145,0.3723,0.8376,0.3329,0.2153,0.1314
OPENJPA,NaiveBayes,Yes,No,9,1-9,8960,10,1166,0.7354,0.7374,0.8733,0.6102,0.5968,0.1008
OPENJPA,NaiveBayes,Yes,No,10,1-10,10126,11,1055,0.5179,0.3867,0.6590,0.2638,0.1800,0.1433
OPENJPA,NaiveBayes,Yes,No,11,1-11,11181,12,1243,0.5808,0.4429,0.7855,0.4131,0.2420,0.1598
OPENJPA,NaiveBayes,Yes,No,12,1-12,12424,13,1290,0.6213,0.5198,0.8253,0.4938,0.3069,0.2030
OPENJPA,NaiveBayes,Yes,No,13,1-13,13714,14,1055,0.4170,0.6171,0.7808,0.3737,0.2686,0.2171
OPENJPA,Ibk,Yes,No,1,1-1,932,2,951,0.7417,0.4300,0.7256,0.4577,0.3623,0.3478
OPENJPA,Ibk,Yes,No,2,1-2,1883,3,952,0.4377,0.6150,0.7036,0.3525,0.2950,0.3000
OPENJPA,Ibk,Yes,No,3,1-3,2835,4,1002,0.6069,0.7241,0.8318,0.5969,0.5172,0.5172
OPENJPA,Ibk,Yes,No,4,1-4,3837,5,1003,0.8761,0.7174,0.9485,0.7590,0.6594,0.5580
OPENJPA,Ibk,Yes,No,5,1-5,4840,6,1008,0.9115,0.6398,0.8910,0.7142,0.5963,0.4410
OPENJPA,Ibk,Yes,No,6,1-6,5848,7,1049,0.8235,0.4058,0.8814,0.4478,0.4022,0.2101
OPENJPA,Ibk,Yes,No,7,1-7,6897,8,1008,0.8136,0.4550,0.9096,0.5100,0.5450,0.2654
OPENJPA,Ibk,Yes,No,8,1-8,7905,9,1055,0.8505,0.6642,0.9522,0.6709,0.6971,0.5109
OPENJPA,Ibk,Yes,No,9,1-9,8960,10,1166,0.8356,0.4987,0.9139,0.5049,0.5119,0.3873
OPENJPA,Ibk,Yes,No,10,1-10,10126,11,1055,0.5977,0.1733,0.6007,0.1615,0.1733,0.1300
OPENJPA,Ibk,Yes,No,11,1-11,11181,12,1243,0.4404,0.4384,0.6749,0.3198,0.2648,0.2648
OPENJPA,Ibk,Yes,No,12,1-12,12424,13,1290,0.5484,0.5050,0.7121,0.4420,0.3614,0.3614
OPENJPA,Ibk,Yes,No,13,1-13,13714,14,1055,0.6143,0.4914,0.7348,0.4675,0.3429,0.3429
OPENJPA,RandomForest,No,Yes,1,1-1,932,2,951,0.7619,0.0773,0.8024,0.1044,0.3623,0.2560
OPENJPA,RandomForest,No,Yes,2,1-2,1883,3,952,0.6227,0.6850,0.8547,0.5543,0.4100,0.1150
OPENJPA,RandomForest,No,Yes,3,1-3,2835,4,1002,0.5413,0.8138,0.8863,0.5765,0.3379,0.2828
OPENJPA,RandomForest,No,Yes,4,1-4,3837,5,1003,0.7755,0.5507,0.9375,0.5981,0.4565,0.2754
OPENJPA,RandomForest,No,Yes,5,1-5,4840,6,1008,0.8692,0.7019,0.9166,0.7394,0.5776,0.1925
OPENJPA,RandomForest,No,Yes,6,1-6,5848,7,1049,0.8765,0.5145,0.8629,0.5634,0.5507,0.1051
OPENJPA,RandomForest,No,Yes,7,1-7,6897,8,1008,0.7633,0.7488,0.9135,0.6922,0.6351,0.1896
OPENJPA,RandomForest,No,Yes,8,1-8,7905,9,1055,0.8586,0.9088,0.9729,0.8403,0.7080,0.3358
OPENJPA,RandomForest,No,Yes,9,1-9,8960,10,1166,0.8553,0.6897,0.8792,0.6676,0.5756,0.2414
OPENJPA,RandomForest,No,Yes,10,1-10,10126,11,1055,0.5581,0.2400,0.6143,0.1986,0.3867,0.1000
OPENJPA,RandomForest,No,Yes,11,1-11,11181,12,1243,0.6074,0.7489,0.9059,0.5912,0.5388,0.1553
