Path,CodeSmells
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractStoreQuery.java,4
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractStrategy.java,0
openjpa-lib/src/main/java/org/apache/openjpa/lib/ant/AbstractTask.java,9
openjpa-kernel/src/main/java/org/apache/openjpa/event/AbstractTransactionListener.java,0
openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractUntypedIteratorDecorator.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java,9
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/validation/AbstractValidator.java,3
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractValueHandler.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractVersionStrategy.java,1
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AbstractVisitable.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/meta/AccessCode.java,2
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AccessDictionary.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Add.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java,7
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Aggregate.java,5
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/Aggregate.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AggregateListener.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AggregateVal.java,3
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AliasContext.java,6
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/AliasContext.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/All.java,0
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AllExpression.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java,2
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AndExpression.java,2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AndPredicate.java,0
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationBuilder.java,3
openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java,37
openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingSerializer.java,23
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java,71
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer.java,50
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceXMLMetaDataParser.java,29
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/AnnotationProcessor6.java,13
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Any.java,0
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AnyExpression.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,17
openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java,48
openjpa-kernel/src/main/java/org/apache/openjpa/ant/ApplicationIdToolTask.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,13
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Args.java,4
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ArgumentException.java,7
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Arguments.java,0
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/ArrayExpression.java,2
openjpa-kernel/src/main/java/org/apache/openjpa/util/ArrayStateImage.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/util/asm/AsmHelper.java,8
openjpa-kernel/src/main/java/org/apache/openjpa/event/AttachListener.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachManager.java,12
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachStrategy.java,5
openjpa-kernel/src/main/java/org/apache/openjpa/enhance/AttributeTranslator.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/audit/Auditable.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/audit/AuditableOperation.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Audited.java,2
openjpa-kernel/src/main/java/org/apache/openjpa/audit/AuditLogger.java,9
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AuditManager.java,25
openjpa-kernel/src/main/java/org/apache/openjpa/audit/Auditor.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AutoClear.java,1
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AutoClearType.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AutoDetach.java,3
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AutoDetachType.java,2
openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java,3
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/AutoDriverDataSource.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/ee/AutomaticManagedRuntime.java,27
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AverageExpression.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Avg.java,0
openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Base16Encoder.java,3
openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/BatchedResultObjectProvider.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingConstraintUpdateManager.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingOperationOrderUpdateManager.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingPreparedStatementManagerImpl.java,14
openjpa-kernel/src/main/java/org/apache/openjpa/util/asm/BCClassWriter.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/event/BeanLifecycleCallbacks.java,7
openjpa-kernel/src/main/java/org/apache/openjpa/event/BeginTransactionListener.java,0
