Rank,Module,Class,SonarSmells,PmdSmells,LOC,NCSS,Methods,LinesPerMethod,Path
1,openjpa-kernel,PCEnhancer,217,698,5809,3958,133,29.76,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java
2,openjpa-jdbc,DBDictionary,203,276,6122,3959,342,11.58,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java
3,openjpa-persistence,XMLPersistenceMetaDataParser,182,175,3001,2274,165,13.78,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java
4,openjpa-kernel,BrokerImpl,150,360,5511,4162,296,14.06,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
5,openjpa-jdbc,SelectImpl,126,230,3627,2703,305,8.86,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java
6,openjpa-kernel,FieldMetaData,123,156,2589,1702,184,9.25,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java
7,openjpa-kernel,ClassMetaData,92,174,2870,1864,167,11.16,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java
8,openjpa-kernel,MetaDataRepository,83,108,2588,1622,140,11.59,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java
9,openjpa-persistence-jdbc,XMLPersistenceMappingParser,75,96,1857,1477,86,17.17,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java
10,openjpa-jdbc,OracleDictionary,73,157,1617,1229,71,17.31,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java
11,openjpa-persistence,AnnotationPersistenceMetaDataParser,71,119,2243,1709,96,17.80,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java
12,openjpa-kernel,PCDataGenerator,68,143,1310,955,33,28.94,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCDataGenerator.java
13,openjpa-jdbc,SchemaGenerator,68,68,1086,715,44,16.25,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java
14,openjpa-kernel,QueryImpl,67,130,2448,1846,181,10.20,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java
15,openjpa-jdbc,MappingRepository,67,107,1624,1203,84,14.32,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java
16,openjpa-kernel,ProxyManagerImpl,66,111,2045,1511,72,20.99,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java
17,openjpa-jdbc,Table,65,46,982,648,81,8.00,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java
18,openjpa-jdbc,ReverseMappingTool,58,96,2322,1497,122,12.27,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java
19,openjpa-kernel,JPQLExpressionBuilder,57,206,2591,1870,120,15.58,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java
20,openjpa-jdbc,JDBCStoreManager,55,105,1990,1484,121,12.26,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
21,openjpa-kernel,Reflection,55,93,1006,624,67,9.31,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java
22,openjpa-kernel,StateManagerImpl,54,143,3707,2646,192,13.78,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
23,openjpa-jdbc,SchemaTool,54,109,1736,1136,74,15.35,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java
24,openjpa-kernel,TCPRemoteCommitProvider,52,78,958,640,49,13.06,openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java
25,openjpa-persistence,XMLPersistenceMetaDataSerializer,51,57,1539,1102,90,12.24,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java
26,openjpa-persistence,AnnotationPersistenceMetaDataSerializer,50,56,1570,1102,100,11.02,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer.java
27,openjpa-jdbc,ForeignKey,50,79,1030,658,67,9.82,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java
28,openjpa-jdbc,TableJDBCSeq,49,57,1000,624,49,12.73,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java
29,openjpa-lib,LoggingConnectionDecorator,48,73,2515,2054,216,9.51,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator.java
30,openjpa-kernel,ApplicationIdTool,48,57,1488,1038,48,21.63,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java
31,openjpa-lib,ConfigurationImpl,48,73,1172,773,66,11.71,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java
32,openjpa-kernel,AbstractCFMetaDataFactory,45,96,1125,820,32,25.63,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java
33,openjpa-persistence,PersistenceProductDerivation,44,97,1034,764,43,17.77,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
34,openjpa-jdbc,MappingTool,43,61,1232,747,54,13.83,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java
35,openjpa-jdbc,ClassMappingInfo,43,20,681,452,55,8.22,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java
36,openjpa-jdbc,PostgresDictionary,42,82,1135,809,57,14.19,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java
37,openjpa-lib,Files,42,41,328,216,11,19.64,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Files.java
38,openjpa-jdbc,DB2Dictionary,41,61,1283,936,54,17.33,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java
39,openjpa-persistence,PersistenceMetaDataDefaults,40,52,998,711,44,16.16,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java
40,openjpa-persistence,CriteriaQueryImpl,40,47,799,537,49,10.96,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java
41,openjpa-persistence,PersistenceMetaDataFactory,40,15,641,473,46,10.28,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java
42,openjpa-persistence-jdbc,AnnotationPersistenceMappingParser,37,67,2265,1858,83,22.39,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java
43,openjpa-jdbc,MappingInfo,37,121,1927,1278,59,21.66,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java
44,openjpa-lib,ClassArgParser,37,64,642,457,23,19.87,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassArgParser.java
45,openjpa-xmlstore,XMLFileHandler,34,63,662,461,19,24.26,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLFileHandler.java
46,openjpa-persistence,Joins,33,44,779,586,62,9.45,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Joins.java
47,openjpa-jdbc,H2Dictionary,33,8,486,411,27,15.22,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/H2Dictionary.java
48,openjpa-kernel,Filters,32,92,1142,877,37,23.70,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Filters.java
49,openjpa-persistence,PersistenceUnitInfoImpl,32,27,618,452,52,8.69,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceUnitInfoImpl.java
50,openjpa-lib,ConcurrentReferenceHashMap,31,64,1153,745,81,9.20,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentReferenceHashMap.java
51,openjpa-kernel,ExpressionStoreQuery,31,79,911,627,63,9.95,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java
52,openjpa-jdbc,PCPath,30,175,1208,947,68,13.93,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java
53,openjpa-persistence-jdbc,XMLPersistenceMappingSerializer,29,40,768,613,33,18.58,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java
54,openjpa-persistence,AnnotationPersistenceXMLMetaDataParser,29,31,273,188,11,17.09,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceXMLMetaDataParser.java
55,openjpa-jdbc,JDBCConfigurationImpl,28,21,1077,830,87,9.54,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java
56,openjpa-jdbc,QueryResultMapping,28,34,660,405,47,8.62,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java
57,openjpa-kernel,AutomaticManagedRuntime,27,54,328,230,9,25.56,openjpa-kernel/src/main/java/org/apache/openjpa/ee/AutomaticManagedRuntime.java
58,openjpa-kernel,DetachManager,26,47,891,640,37,17.30,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java
59,openjpa-slice,DistributedJDBCConfigurationImpl,26,24,701,516,41,12.59,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java
60,openjpa-jdbc,TableSchemaFactory,26,26,517,352,23,15.30,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java
61,openjpa-lib,ProductDerivations,26,48,511,342,20,17.10,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ProductDerivations.java
62,openjpa-persistence,SourceCode,25,56,1107,827,92,8.99,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/util/SourceCode.java
63,openjpa-kernel,CodeGenerator,25,18,632,383,31,12.35,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/CodeGenerator.java
64,openjpa-jdbc,NativeJDBCSeq,25,24,482,295,27,10.93,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java
65,openjpa-jdbc,ClassMapping,24,61,1177,728,83,8.77,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java
66,openjpa-jdbc,SQLBuffer,24,60,699,468,41,11.41,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer.java
67,openjpa-kernel,ValueMetaDataImpl,24,42,566,427,48,8.90,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ValueMetaDataImpl.java
68,openjpa-kernel,JavaTypes,24,35,545,386,16,24.13,openjpa-kernel/src/main/java/org/apache/openjpa/meta/JavaTypes.java
69,openjpa-jdbc,Schema,24,13,354,218,26,8.38,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java
70,openjpa-persistence,AbstractManagedType,23,17,1122,716,81,8.84,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/AbstractManagedType.java
71,openjpa-kernel,SingleFieldManager,23,67,929,688,34,20.24,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SingleFieldManager.java
72,openjpa-persistence-jdbc,AnnotationPersistenceMappingSerializer,23,40,814,650,35,18.57,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingSerializer.java
73,openjpa-kernel,AbstractBrokerFactory,23,30,921,579,46,12.59,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java
74,openjpa-jdbc,MySQLDictionary,23,28,541,389,23,16.91,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java
75,openjpa-lib,CFMetaDataParser,23,37,373,224,26,8.62,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/CFMetaDataParser.java
76,openjpa-persistence,ValidatorImpl,23,15,395,223,18,12.39,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/validation/ValidatorImpl.java
77,openjpa-lib,LogFactoryImpl,23,11,372,220,26,8.46,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/LogFactoryImpl.java
78,openjpa-lib,AbstractHashedMap,22,92,1394,750,92,8.15,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java
79,openjpa-lib,ConcurrentHashMap,22,64,986,556,66,8.42,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentHashMap.java
80,openjpa-jdbc,MariaDBDictionary,22,29,552,393,25,15.72,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MariaDBDictionary.java
81,openjpa-persistence,PathImpl,22,32,330,208,24,8.67,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/PathImpl.java
82,openjpa-jdbc,JDBCStoreQuery,21,87,1143,906,52,17.42,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java
83,openjpa-lib,Configurations,21,43,774,517,32,16.16,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java
84,openjpa-jdbc,XMLSchemaParser,21,120,628,437,34,12.85,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java
85,openjpa-lib,FormatPreservingProperties,21,63,727,434,40,10.85,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java
86,openjpa-kernel,QueryKey,21,18,483,296,19,15.58,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryKey.java
87,openjpa-kernel,InstrumentationFactory,21,36,386,224,11,20.36,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/InstrumentationFactory.java
88,openjpa-kernel,DataCacheStoreManager,20,64,862,614,23,26.70,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java
89,openjpa-jdbc,ResultSetResult,20,26,608,467,57,8.19,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/ResultSetResult.java
90,openjpa-kernel,AbstractLRSProxyMap,20,16,565,404,49,8.24,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractLRSProxyMap.java
91,openjpa-jdbc,LRSProxyMap,20,24,442,365,22,16.59,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyMap.java
92,openjpa-lib,Options,20,39,650,355,26,13.65,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java
93,openjpa-kernel,InverseManager,20,26,425,268,19,14.11,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/InverseManager.java
94,openjpa-jdbc,RelationFieldStrategy,19,61,1147,894,45,19.87,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java
95,openjpa-persistence,QueryImpl,18,16,692,510,52,9.81,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java
96,openjpa-jdbc,ValueMappingImpl,18,25,625,489,49,9.98,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java
97,openjpa-kernel,DynamicStorageGenerator,18,51,611,396,24,16.50,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator.java
98,openjpa-jdbc,PrimaryRow,18,30,501,352,33,10.67,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PrimaryRow.java
99,openjpa-jdbc,SQLStoreQuery,18,34,428,295,21,14.05,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java
100,openjpa-kernel,ExtentImpl,18,22,379,278,26,10.69,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExtentImpl.java
101,openjpa-kernel,PCClassFileTransformer,18,24,295,199,13,15.31,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCClassFileTransformer.java
102,openjpa-kernel,FetchConfigurationImpl,17,123,1177,907,84,10.80,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FetchConfigurationImpl.java
103,openjpa-kernel,ApplicationIds,17,39,733,561,38,14.76,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java
104,openjpa-kernel,LifecycleEventManager,17,66,657,482,27,17.85,openjpa-kernel/src/main/java/org/apache/openjpa/event/LifecycleEventManager.java
105,openjpa-jdbc,SolidDBDictionary,17,19,544,395,22,17.95,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SolidDBDictionary.java
106,openjpa-kernel,AbstractPCData,17,28,427,308,13,23.69,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractPCData.java
107,openjpa-jdbc,ValueMappingInfo,17,14,402,265,28,9.46,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingInfo.java
108,openjpa-jdbc,ClassTableJDBCSeq,17,17,277,169,14,12.07,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java
109,openjpa-jdbc,PreparedQueryCacheImpl,16,7,501,364,38,9.58,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedQueryCacheImpl.java
110,openjpa-kernel,AbstractExpressionBuilder,16,27,611,356,24,14.83,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AbstractExpressionBuilder.java
111,openjpa-kernel,AbstractLRSProxyCollection,16,10,460,325,40,8.13,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractLRSProxyCollection.java
112,openjpa-jdbc,PreparedStatementManagerImpl,16,25,317,226,20,11.30,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java
113,openjpa-kernel,RemoteCommitEvent,16,2,202,95,11,8.64,openjpa-kernel/src/main/java/org/apache/openjpa/event/RemoteCommitEvent.java
114,openjpa-persistence,AbstractQuery,15,22,675,403,33,12.21,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AbstractQuery.java
115,openjpa-jdbc,PreparedQueryImpl,15,20,458,329,21,15.67,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedQueryImpl.java
116,openjpa-persistence,MetamodelImpl,15,28,459,310,22,14.09,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/MetamodelImpl.java
117,openjpa-kernel,ResultPacker,15,27,396,277,10,27.70,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultPacker.java
118,openjpa-kernel,MetaDataTool,15,17,357,223,17,13.12,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataTool.java
119,openjpa-persistence,OpenJPAPersistenceUtil,15,34,328,212,12,17.67,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAPersistenceUtil.java
120,openjpa-kernel,CacheMarshallerImpl,15,16,262,205,16,12.81,openjpa-kernel/src/main/java/org/apache/openjpa/conf/CacheMarshallerImpl.java
