Rank,Module,Class,SonarSmells,PmdSmells,LOC,NCSS,Methods,LinesPerMethod,Path
159,openjpa-jdbc,HandlerRelationMapTableFieldStrategy,10,18,498,408,23,17.74,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerRelationMapTableFieldStrategy.java
160,openjpa-jdbc,SybaseDictionary,10,14,499,318,21,15.14,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SybaseDictionary.java
161,openjpa-kernel,VersionAttachStrategy,10,32,431,311,12,25.92,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java
162,openjpa-xmlstore,ObjectData,10,9,391,226,16,14.13,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/ObjectData.java
163,openjpa-jdbc,QualifiedDBIdentifier,10,17,361,210,25,8.40,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/QualifiedDBIdentifier.java
164,openjpa-jdbc,StoredProcedureQuery,10,22,218,166,13,12.77,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/StoredProcedureQuery.java
165,openjpa-kernel,Exceptions,10,16,291,160,12,13.33,openjpa-kernel/src/main/java/org/apache/openjpa/util/Exceptions.java
166,openjpa-lib,MergedResultObjectProvider,10,16,239,158,13,12.15,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/MergedResultObjectProvider.java
167,openjpa-jdbc,ElementEmbedValueHandler,10,9,208,137,9,15.22,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ElementEmbedValueHandler.java
168,openjpa-lib,WindowResultList,10,23,180,127,9,14.11,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/WindowResultList.java
169,openjpa-kernel,QueryExpressions,10,11,201,124,11,11.27,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/QueryExpressions.java
170,openjpa-kernel,PartitionedDataCache,10,4,191,101,9,11.22,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/PartitionedDataCache.java
171,openjpa-slice,DistributedJDBCStoreManager,9,30,601,456,42,10.86,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCStoreManager.java
172,openjpa-persistence,EntityManagerFactoryImpl,9,20,506,381,38,10.03,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerFactoryImpl.java
173,openjpa-jdbc,HandlerFieldStrategy,9,24,467,367,28,13.11,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy.java
174,openjpa-jdbc,AbstractUpdateManager,9,28,450,320,17,18.82,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java
175,openjpa-jdbc,JoinSet,9,60,416,302,31,9.74,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java
176,openjpa-jdbc,SelectConstructor,9,104,436,292,11,26.55,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java
177,openjpa-kernel,FetchGroup,9,13,393,220,19,11.58,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FetchGroup.java
178,openjpa-kernel,ClearableScheduler,9,33,274,196,12,16.33,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ClearableScheduler.java
179,openjpa-jdbc,ConstPath,9,24,258,185,21,8.81,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java
180,openjpa-slice,UniqueResultObjectProvider,9,17,216,169,10,16.90,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/UniqueResultObjectProvider.java
181,openjpa-jest,JSONObject,9,6,247,162,17,9.53,openjpa-jest/src/main/java/org/apache/openjpa/json/JSONObject.java
182,openjpa-jest,JSONObject,9,6,247,162,17,9.53,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JSONObject.java
183,openjpa-jdbc,CollectionParam,9,39,214,159,13,12.23,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CollectionParam.java
184,openjpa-lib,Services,9,19,233,136,10,13.60,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Services.java
185,openjpa-lib,AbstractTask,9,9,223,132,13,10.15,openjpa-lib/src/main/java/org/apache/openjpa/lib/ant/AbstractTask.java
186,openjpa-lib,JarFileURLMetaDataIterator,9,8,199,129,8,16.13,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/JarFileURLMetaDataIterator.java
187,openjpa-slice,DistributedBrokerImpl,9,11,182,114,13,8.77,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl.java
188,openjpa-lib,TreeBidiMap,8,81,2254,1246,146,8.53,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/TreeBidiMap.java
189,openjpa-kernel,AsmHelper,8,42,696,516,24,21.50,openjpa-kernel/src/main/java/org/apache/openjpa/util/asm/AsmHelper.java
190,openjpa-jest,XMLFormatter,8,47,536,412,14,29.43,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/XMLFormatter.java
191,openjpa-jdbc,FirebirdDictionary,8,12,502,348,19,18.32,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java
192,openjpa-jdbc,DataSourceFactory,8,21,331,226,9,25.11,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java
193,openjpa-jdbc,EmbedValueHandler,8,22,324,223,10,22.30,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedValueHandler.java
194,openjpa-jest,JSONObjectFormatter,8,21,304,223,9,24.78,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JSONObjectFormatter.java
195,openjpa-jdbc,HandlerHandlerMapTableFieldStrategy,8,6,281,217,16,13.56,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerHandlerMapTableFieldStrategy.java
196,openjpa-jdbc,PessimisticLockManager,8,10,247,160,13,12.31,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java
197,openjpa-kernel,CandidatePath,8,13,233,158,19,8.32,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CandidatePath.java
198,openjpa-kernel,SaveFieldManager,8,9,248,148,9,16.44,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SaveFieldManager.java
199,openjpa-jdbc,ObjectIdValueHandler,8,6,185,137,10,13.70,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ObjectIdValueHandler.java
200,openjpa-jdbc,LocalConstraint,8,9,203,108,13,8.31,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java
201,openjpa-persistence,SourceAnnotationHandler,7,53,769,504,39,12.92,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/SourceAnnotationHandler.java
202,openjpa-jdbc,DBIdentifierUtilImpl,7,33,504,372,28,13.29,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifierUtilImpl.java
203,openjpa-jdbc,ConstraintUpdateManager,7,18,561,330,18,18.33,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConstraintUpdateManager.java
204,openjpa-jdbc,RelationToManyInverseKeyFieldStrategy,7,21,404,309,16,19.31,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java
205,openjpa-jdbc,HandlerCollectionTableFieldStrategy,7,12,332,259,20,12.95,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerCollectionTableFieldStrategy.java
206,openjpa-jest,AbstractCommand,7,15,358,256,26,9.85,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/AbstractCommand.java
207,openjpa-lib,DepthFirstAnalysis,7,23,347,198,16,12.38,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/DepthFirstAnalysis.java
208,openjpa-kernel,WASManagedRuntime,7,22,376,189,21,9.00,openjpa-kernel/src/main/java/org/apache/openjpa/ee/WASManagedRuntime.java
209,openjpa-lib,LazyForwardResultList,7,25,217,161,20,8.05,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/LazyForwardResultList.java
210,openjpa-jdbc,Param,7,23,179,128,14,9.14,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java
211,openjpa-jdbc,AbstractJDBCSeq,7,12,230,127,13,9.77,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java
212,openjpa-kernel,JMXProvider,7,13,192,112,8,14.00,openjpa-kernel/src/main/java/org/apache/openjpa/instrumentation/jmx/JMXProvider.java
213,openjpa-lib,ZipFileMetaDataIterator,7,7,163,112,9,12.44,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ZipFileMetaDataIterator.java
214,openjpa-lib,ZipStreamMetaDataIterator,7,10,159,100,12,8.33,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ZipStreamMetaDataIterator.java
215,openjpa-jdbc,SQLProjectionResultObjectProvider,7,6,140,93,10,9.30,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java
216,openjpa-jdbc,SQLServerDictionary,6,29,471,327,25,13.08,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLServerDictionary.java
217,openjpa-jdbc,HSQLDictionary,6,18,417,325,22,14.77,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java
218,openjpa-jdbc,InformixDictionary,6,17,468,314,22,14.27,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java
219,openjpa-jdbc,MapTableFieldStrategy,6,14,338,261,22,11.86,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MapTableFieldStrategy.java
220,openjpa-jdbc,RelationToManyTableFieldStrategy,6,15,303,237,14,16.93,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyTableFieldStrategy.java
221,openjpa-slice,DistributedStoreQuery,6,45,293,228,12,19.00,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedStoreQuery.java
